Date,Open,High,Low,Close,Adj Close,Volume
12/21/1981,0.392857,0.392857,0.390625,0.390625,0.32078,14100800
12/22/1981,0.397321,0.399554,0.397321,0.397321,0.32628,13456800
12/23/1981,0.390625,0.390625,0.388393,0.388393,0.318947,7224000
12/24/1981,0.390625,0.392857,0.390625,0.390625,0.32078,7229600
12/28/1981,0.377232,0.377232,0.372768,0.372768,0.306116,9144800
12/29/1981,0.379464,0.383929,0.379464,0.379464,0.311615,6059200
12/30/1981,0.395089,0.397321,0.395089,0.395089,0.324447,8047200
12/31/1981,0.395089,0.397321,0.395089,0.395089,0.324447,13664000
1/4/1982,0.395089,0.395089,0.392857,0.392857,0.322613,17813600
1/5/1982,0.377232,0.377232,0.372768,0.372768,0.306116,8960000
1/6/1982,0.370536,0.370536,0.368304,0.368304,0.30245,16520000
1/7/1982,0.34375,0.34375,0.339286,0.339286,0.278621,17511200
1/8/1982,0.354911,0.357143,0.354911,0.354911,0.291452,14151200
1/11/1982,0.334821,0.334821,0.332589,0.332589,0.273122,8332800
1/12/1982,0.323661,0.323661,0.321429,0.321429,0.263956,14980000
1/13/1982,0.321429,0.321429,0.319196,0.319196,0.262124,10438400
1/14/1982,0.334821,0.337054,0.334821,0.334821,0.274955,6428800
1/15/1982,0.357143,0.361607,0.357143,0.357143,0.293285,11676000
1/18/1982,0.363839,0.368304,0.363839,0.363839,0.298784,7000000
1/19/1982,0.359375,0.359375,0.354911,0.354911,0.291452,13876800
1/20/1982,0.361607,0.363839,0.361607,0.361607,0.296951,6456800
1/21/1982,0.368304,0.370536,0.368304,0.368304,0.30245,8332800
1/22/1982,0.370536,0.372768,0.370536,0.370536,0.304283,6064800
1/25/1982,0.361607,0.361607,0.359375,0.359375,0.295118,11177600
1/26/1982,0.350446,0.350446,0.345982,0.345982,0.28412,5303200
1/27/1982,0.348214,0.352679,0.348214,0.348214,0.285953,7840000
1/28/1982,0.359375,0.361607,0.359375,0.359375,0.295118,9900800
1/29/1982,0.363839,0.366071,0.363839,0.363839,0.298784,13288800
2/1/1982,0.363839,0.363839,0.359375,0.359375,0.295118,9632000
2/2/1982,0.361607,0.366071,0.361607,0.361607,0.296951,13568800
2/3/1982,0.361607,0.363839,0.361607,0.361607,0.296951,7868000
2/4/1982,0.354911,0.354911,0.352679,0.352679,0.289619,5510400
2/5/1982,0.352679,0.354911,0.352679,0.352679,0.289619,10074400
2/8/1982,0.332589,0.332589,0.330357,0.330357,0.271289,7924000
2/9/1982,0.330357,0.332589,0.330357,0.330357,0.271289,14476000
2/10/1982,0.334821,0.337054,0.334821,0.334821,0.274955,9699200
2/11/1982,0.332589,0.332589,0.330357,0.330357,0.271289,6132000
2/12/1982,0.334821,0.337054,0.334821,0.334821,0.274955,4911200
2/16/1982,0.330357,0.330357,0.328125,0.328125,0.269455,8579200
2/17/1982,0.332589,0.334821,0.332589,0.332589,0.273122,6395200
2/18/1982,0.337054,0.339286,0.337054,0.337054,0.276788,7095200
2/19/1982,0.337054,0.337054,0.334821,0.334821,0.274955,3399200
2/22/1982,0.332589,0.332589,0.330357,0.330357,0.271289,6658400
2/23/1982,0.328125,0.328125,0.325893,0.325893,0.267622,8635200
2/24/1982,0.328125,0.330357,0.328125,0.328125,0.269455,9486400
2/25/1982,0.328125,0.328125,0.325893,0.325893,0.267622,7700000
2/26/1982,0.325893,0.328125,0.325893,0.325893,0.267622,4356800
3/1/1982,0.328125,0.330357,0.328125,0.328125,0.269455,8825600
3/2/1982,0.328125,0.330357,0.328125,0.328125,0.269455,8702400
3/3/1982,0.328125,0.330357,0.328125,0.328125,0.269455,5913600
3/4/1982,0.323661,0.323661,0.321429,0.321429,0.263956,9592800
3/5/1982,0.299107,0.299107,0.296875,0.296875,0.243793,11328800
3/8/1982,0.294643,0.294643,0.292411,0.292411,0.240127,8786400
